tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
4;510;22;0.882;-35.159;2004-04-29 00:00:00;0.65;4.15;7227.55;STOP
4;511;22;0.975;-35.199;2004-04-29 00:46:00;6.35;4.08;11256.8;STOP
4;512;22;0.998;-35.206;2004-04-29 01:00:00;156.06;3.18;2673.27;STOP
4;513;22;0.933;-35.214;2004-04-29 01:38:00;12.21;3.19;7282.19;STOP
4;514;22;0.878;-35.209;2004-04-29 02:00:00;1.62;4.65;6140.93;STOP
4;515;22;0.734;-35.2;2004-04-29 02:57:00;1.32;4.69;16043.3;STOP
4;516;22;0.699;-35.197;2004-04-29 03:11:00;3.63;4.65;3906.09;STOP
4;517;22;0.579;-35.179;2004-04-29 04:00:00;0.31;4.59;13492.7;STOP
4;518;22;0.489;-35.166;2004-04-29 04:36:00;1.4;4.68;10111.4;STOP
4;519;22;0.43;-35.156;2004-04-29 05:00:00;3.67;4.62;6654.06;STOP
4;520;22;0.286;-35.122;2004-04-29 06:00:00;1.02;4.57;16452.3;STOP
4;521;22;0.24;-35.112;2004-04-29 06:19:00;23.73;4.59;5234.43;STOP
4;522;22;0.171;-35.126;2004-04-29 07:00:00;48.34;3.18;7828.78;STOP
4;523;22;0.167;-35.123;2004-04-29 07:25:00;50.4;0.37;555.97;STOP
4;524;22;0.166;-35.102;2004-04-29 08:00:00;133.64;1.11;2337.73;STOP
4;525;22;0.181;-35.115;2004-04-29 08:21:00;35.72;1.75;2207.15;STOP
4;526;22;0.236;-35.12;2004-04-29 09:03:00;20.96;2.44;6140.94;STOP
4;527;22;0.321;-35.096;2004-04-29 10:00:00;27.42;2.87;9821.09;STOP
4;528;22;0.37;-35.05;2004-04-29 10:37:00;3.39;3.37;7473.19;STOP
4;529;22;0.4;-35.025;2004-04-29 11:00:00;6.12;3.15;4342.26;STOP
4;530;22;0.445;-34.995;2004-04-29 11:42:00;7.13;2.39;6013.73;STOP
4;531;22;0.471;-34.982;2004-04-29 12:00:00;12.23;2.99;3232.29;STOP
4;532;22;0.522;-34.941;2004-04-29 12:39:00;2.21;3.11;7276.15;STOP
4;533;22;0.545;-34.921;2004-04-29 13:00:00;5.65;2.69;3389.1;STOP
4;534;22;0.576;-34.899;2004-04-29 13:30:00;3.93;2.35;4226.8;STOP
4;535;22;0.612;-34.877;2004-04-29 14:00:00;12.14;2.61;4691.25;STOP
4;536;22;0.632;-34.87;2004-04-29 14:13:00;22.7;3.02;2356.16;STOP
4;537;22;0.716;-34.875;2004-04-29 15:00:00;13.58;3.32;9356.9;STOP
4;538;22;0.788;-34.897;2004-04-29 15:51:00;67.17;2.74;8371.37;STOP
4;539;22;0.797;-34.985;2004-04-29 17:00:00;19.88;2.38;9835.26;STOP
4;540;23;0.78;-35.053;2004-04-29 17:29:00;0;4.48;7793.27;MOVE
4;541;23;0.762;-35.125;2004-04-29 18:00:00;3.52;4.44;8251.73;MOVE
4;542;23;0.744;-35.222;2004-04-29 19:00:00;164.57;3.05;10969.1;MOVE
4;543;24;0.762;-35.185;2004-04-29 19:17:00;2.53;4.49;4574.92;STOP
4;544;24;0.804;-35.088;2004-04-29 20:00:00;2.25;4.56;11752.7;STOP
