tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
1;0;1;-5.778;-35.206;2004-04-14 01:31:00;0;0;0;MOVE
1;1;1;-5.778;-35.206;2004-04-14 01:44:00;0;0;0;MOVE
1;2;1;-5.778;-35.206;2004-04-14 03:16:00;0;0;0;MOVE
1;3;1;-5.778;-35.206;2004-04-14 04:08:00;0;0;0;MOVE
1;4;1;-5.778;-35.206;2004-04-14 05:52:00;4.09;0;0;MOVE
1;5;1;-5.764;-35.205;2004-04-15 20:06:00;56.56;0.01;1560.66;MOVE
1;6;1;-5.701;-35.093;2004-04-15 21:00:00;0.5;4.39;14234.6;MOVE
1;7;1;-5.674;-35.044;2004-04-15 21:23:00;6.24;4.49;6197.48;MOVE
1;8;1;-5.622;-34.97;2004-04-15 22:00:00;16.75;4.52;10024.2;MOVE
1;9;1;-5.594;-34.948;2004-04-15 22:15:00;30.8;4.39;3952.32;MOVE
1;10;1;-5.47;-34.932;2004-04-15 23:04:00;6.56;4.73;13901.4;MOVE
1;11;1;-5.326;-34.93;2004-04-16 00:00:00;0.17;4.77;16013.6;MOVE
1;12;1;-5.207;-34.928;2004-04-16 00:47:00;0.77;4.69;13234;MOVE
1;13;1;-5.174;-34.927;2004-04-16 01:00:00;2.9;4.71;3671.1;MOVE
1;14;1;-5.137;-34.924;2004-04-16 01:15:00;6.65;4.59;4127.6;MOVE
1;15;1;-5.023;-34.928;2004-04-16 02:00:00;1.17;4.7;12684;MOVE
1;16;1;-4.886;-34.93;2004-04-16 02:54:00;0.15;4.7;15235.3;MOVE
1;17;1;-4.712;-34.933;2004-04-16 04:00:00;0.25;4.89;19350.8;MOVE
1;18;1;-4.557;-34.935;2004-04-16 05:00:00;2.65;4.79;17236.6;MOVE
1;19;1;-4.497;-34.933;2004-04-16 05:24:00;4.99;4.64;6675.38;MOVE
1;20;1;-4.404;-34.938;2004-04-16 06:00:00;7.59;4.79;10356;MOVE
1;21;1;-4.252;-34.926;2004-04-16 07:00:00;4.51;4.71;16953.9;MOVE
1;22;1;-4.147;-34.926;2004-04-16 07:42:00;1.12;4.63;11675.5;MOVE
1;23;1;-4.096;-34.927;2004-04-16 08:00:00;0.47;5.25;5672.03;MOVE
1;24;1;-4.024;-34.929;2004-04-16 08:28:00;2.28;4.77;8009.11;MOVE
1;25;1;-3.941;-34.928;2004-04-16 09:00:00;3.87;4.81;9229.85;MOVE
1;26;1;-3.905;-34.93;2004-04-16 09:15:00;4.21;4.45;4009.16;MOVE
1;27;1;-3.794;-34.928;2004-04-16 10:00:00;1.03;4.57;12344.6;MOVE
1;28;1;-3.66;-34.928;2004-04-16 11:00:00;3.88;4.14;14900.1;MOVE
1;29;1;-3.601;-34.932;2004-04-16 11:35:00;5.7;3.13;6575.5;MOVE
1;30;1;-3.538;-34.93;2004-04-16 12:00:00;0.78;4.67;7008.8;MOVE
1;31;1;-3.483;-34.929;2004-04-16 12:23:00;2;4.43;6116.73;MOVE
1;32;1;-3.389;-34.924;2004-04-16 13:00:00;1.45;4.71;10467;MOVE
1;33;1;-3.353;-34.923;2004-04-16 13:15:00;1.4;4.45;4004.56;MOVE
1;34;1;-3.238;-34.917;2004-04-16 14:00:00;2.51;4.74;12804.8;MOVE
