tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
8;408;10;0.467;-31.636;2004-08-10 00:04:00;20.9408;3.30268;7530.1;STOP
8;409;10;0.417;-31.598;2004-08-10 01:00:00;89.6662;2.07831;6983.11;STOP
8;410;10;0.407;-31.611;2004-08-10 01:48:00;89.3013;0.63323;1823.7;STOP
8;411;10;0.391;-31.599;2004-08-10 02:00:00;27.3608;3.08872;2223.88;STOP
8;412;10;0.349;-31.512;2004-08-10 03:00:00;69.4251;2.98391;10742.1;STOP
8;413;10;0.305;-31.516;2004-08-10 03:26:00;30.2113;3.1492;4912.75;STOP
8;414;10;0.245;-31.488;2004-08-10 04:00:00;7.10438;3.60902;7362.4;STOP
8;415;10;0.146;-31.456;2004-08-10 05:00:00;7.29285;3.21363;11569.1;STOP
8;416;10;0.114;-31.45;2004-08-10 05:15:00;14.0271;4.02249;3620.24;STOP
8;417;10;0.029;-31.411;2004-08-10 06:07:00;0.672916;3.333;10399;STOP
8;418;10;-0.064;-31.367;2004-08-10 07:00:00;42.4224;3.59752;11440.1;STOP
8;419;10;-0.116;-31.383;2004-08-10 07:51:00;49.1249;1.97701;6049.66;STOP
8;420;10;-0.153;-31.467;2004-08-10 08:29:00;8.79072;4.47645;10206.3;STOP
8;421;10;-0.172;-31.538;2004-08-10 09:00:00;10.7763;4.39388;8172.61;STOP
8;422;10;-0.182;-31.674;2004-08-10 10:00:00;84.0298;4.21202;15163.3;STOP
8;423;10;-0.143;-31.681;2004-08-10 10:17:00;1.13442;4.31951;4405.9;STOP
8;424;10;-0.098;-31.69;2004-08-10 10:36:00;6.20777;4.4762;5102.87;STOP
8;425;10;-0.042;-31.695;2004-08-10 11:00:00;0.763898;4.34145;6251.69;STOP
8;426;10;0.103;-31.706;2004-08-10 12:00:00;1.77724;4.49155;16169.6;STOP
8;427;10;0.215;-31.718;2004-08-10 12:48:00;40.7321;4.349;12525.1;STOP
8;428;10;0.23;-31.734;2004-08-10 13:00:00;63.2758;3.38706;2438.69;STOP
8;429;10;0.182;-31.865;2004-08-10 14:00:00;10.133;4.3093;15513.5;STOP
8;430;10;0.154;-31.913;2004-08-10 14:23:00;1.36986;4.47758;6179.06;STOP
8;431;10;0.138;-31.942;2004-08-10 14:37:00;0.362245;4.38438;3682.88;STOP
8;432;10;0.11;-31.992;2004-08-10 15:00:00;0.196602;4.6175;6372.15;STOP
8;433;10;0.04;-32.116;2004-08-10 16:00:00;0.89782;4.39818;15833.5;STOP
