tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
19;745;24;-0.415;-40.305;2004-07-31 00:00:00;2.14942;3.23193;11634.9;STOP
19;746;24;-0.382;-40.26;2004-07-31 00:32:00;1.52185;3.23174;6204.94;STOP
19;747;24;-0.351;-40.22;2004-07-31 01:00:00;10.9557;3.34946;5627.09;STOP
19;748;24;-0.302;-40.177;2004-07-31 02:00:00;156.044;2.0136;7248.97;STOP
19;749;24;-0.314;-40.203;2004-07-31 02:11:00;1.81137;4.82439;3184.1;STOP
19;750;24;-0.364;-40.321;2004-07-31 03:00:00;4.08682;4.84697;14250.1;STOP
19;751;24;-0.412;-40.415;2004-07-31 03:41:00;0.0214832;4.77073;11736;STOP
19;752;24;-0.435;-40.46;2004-07-31 04:00:00;1.15625;4.92925;5619.35;STOP
19;753;24;-0.504;-40.602;2004-07-31 05:00:00;0.159521;4.87628;17554.6;STOP
19;754;24;-0.527;-40.649;2004-07-31 05:20:00;5.95572;4.84849;5818.18;STOP
19;755;24;-0.564;-40.75;2004-07-31 06:00:00;0.911956;4.98337;11960.1;STOP
19;756;24;-0.618;-40.905;2004-07-31 07:00:00;2.23218;5.06954;18250.3;STOP
19;757;24;-0.647;-41;2004-07-31 07:37:00;2.93926;4.97483;11044.1;STOP
19;758;24;-0.661;-41.056;2004-07-31 08:00:00;152.924;4.65084;6418.16;STOP
19;759;24;-0.613;-41.001;2004-07-31 09:00:00;12.5016;2.25471;8116.94;STOP
19;760;24;-0.607;-40.99;2004-07-31 09:11:00;8.06389;2.11092;1393.21;STOP
19;761;24;-0.572;-40.943;2004-07-31 10:00:00;3.36372;2.21627;6515.84;STOP
19;762;24;-0.526;-40.873;2004-07-31 11:00:00;1.88107;2.5871;9313.56;STOP
19;763;24;-0.504;-40.837;2004-07-31 11:28:00;1.74895;2.79237;4691.18;STOP
19;764;24;-0.487;-40.811;2004-07-31 12:00:00;4.87776;1.79902;3454.12;STOP
19;765;24;-0.445;-40.733;2004-07-31 13:00:00;6.49935;2.73622;9850.39;STOP
19;766;24;-0.439;-40.718;2004-07-31 13:11:00;20.1858;2.72176;1796.36;STOP
19;767;24;-0.394;-40.668;2004-07-31 14:00:00;6.44953;2.54414;7479.76;STOP
19;768;24;-0.354;-40.612;2004-07-31 14:50:00;7.64041;2.55072;7652.17;STOP
19;769;24;-0.309;-40.527;2004-07-31 16:00:00;1.84378;2.54625;10694.2;STOP
19;770;24;-0.287;-40.482;2004-07-31 16:34:00;12.3465;2.73024;5569.68;STOP
19;771;24;-0.277;-40.441;2004-07-31 17:00:00;20.3702;3.00807;4692.58;STOP
19;772;24;-0.208;-40.339;2004-07-31 18:08:00;0.914825;3.35617;13693.2;STOP
19;773;24;-0.152;-40.259;2004-07-31 19:00:00;2.28729;3.48026;10858.4;STOP
19;774;24;-0.091;-40.164;2004-07-31 20:00:00;0.233541;3.48713;12553.7;STOP
19;775;24;-0.077;-40.142;2004-07-31 20:15:00;0.195548;3.22179;2899.61;STOP
19;776;24;-0.029;-40.066;2004-07-31 21:00:00;0.971521;3.70192;9995.18;STOP
