tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
7;257;6;-3.093;-29.56;2004-08-06 00:02:00;4.07336;2.35351;8755.05;STOP
7;258;6;-3.167;-29.542;2004-08-06 01:00:00;22.9628;2.43323;8467.65;STOP
7;259;6;-3.206;-29.513;2004-08-06 01:37:00;0.60674;2.43295;5401.15;STOP
7;260;6;-3.228;-29.497;2004-08-06 02:00:00;17.3995;2.19071;3023.18;STOP
7;261;6;-3.317;-29.467;2004-08-06 03:00:00;4.20579;2.90048;10441.7;STOP
7;262;6;-3.393;-29.435;2004-08-06 04:00:00;2.27761;2.54639;9167;STOP
7;263;6;-3.409;-29.429;2004-08-06 04:12:00;8.49856;2.63845;1899.69;STOP
7;264;6;-3.427;-29.419;2004-08-06 04:26:00;18.6171;2.72462;2288.68;STOP
7;265;6;-3.465;-29.412;2004-08-06 05:00:00;5.24305;2.106;4296.25;STOP
7;266;6;-3.542;-29.405;2004-08-06 06:00:00;8.19807;2.38811;8597.19;STOP
7;267;6;-3.563;-29.4;2004-08-06 06:14:00;9.63299;2.85729;2400.12;STOP
7;268;6;-3.603;-29.383;2004-08-06 06:47:00;3.73545;2.44009;4831.38;STOP
7;269;6;-3.623;-29.376;2004-08-06 07:00:00;5.15391;3.02009;2355.67;STOP
7;270;6;-3.689;-29.346;2004-08-06 07:49:00;8.29127;2.74103;8058.63;STOP
7;271;6;-3.703;-29.337;2004-08-06 08:00:00;19.5705;2.80231;1849.53;STOP
7;272;6;-3.72;-29.315;2004-08-06 08:26:00;147.831;1.97915;3087.48;STOP
7;273;6;-3.69;-29.326;2004-08-06 09:00:00;8.04155;1.74125;3552.14;STOP
7;274;6;-3.606;-29.344;2004-08-06 09:37:00;0.434051;4.30251;9551.57;STOP
7;275;6;-3.552;-29.356;2004-08-06 10:00:00;0.254646;4.45684;6150.44;STOP
7;276;6;-3.433;-29.383;2004-08-06 10:53:00;0.843541;4.26644;13567.3;STOP
7;277;6;-3.367;-29.399;2004-08-06 11:21:00;1.95822;4.49446;7550.7;STOP
7;278;6;-3.275;-29.418;2004-08-06 12:00:00;1.80438;4.46372;10445.1;STOP
7;279;6;-3.179;-29.441;2004-08-06 12:41:00;0.565749;4.46173;10975.9;STOP
7;280;6;-3.131;-29.452;2004-08-06 13:00:00;6.74642;4.8029;5475.3;STOP
7;281;6;-2.991;-29.502;2004-08-06 14:00:00;0.231341;4.59101;16527.6;STOP
7;282;6;-2.85;-29.553;2004-08-06 15:00:00;2.08934;4.63057;16670.1;STOP
7;283;6;-2.793;-29.576;2004-08-06 15:26:00;6.97943;4.38044;6833.49;STOP
7;284;6;-2.737;-29.591;2004-08-06 16:00:00;44.0412;3.15977;6445.93;STOP
7;285;6;-2.731;-29.601;2004-08-06 17:09:00;3.31778;0.312961;1295.66;STOP
7;286;6;-2.72;-29.622;2004-08-06 18:00:00;0.251296;0.860689;2633.71;STOP
7;287;6;-2.711;-29.639;2004-08-06 18:44:00;5.7928;0.80947;2137;STOP
7;288;6;-2.707;-29.645;2004-08-06 19:00:00;55.4915;0.834602;801.218;STOP
7;289;6;-2.709;-29.65;2004-08-06 19:31:00;101.889;0.321627;598.227;STOP
7;290;6;-2.721;-29.642;2004-08-06 20:00:00;19.2198;0.921335;1603.12;STOP
7;291;6;-2.814;-29.618;2004-08-06 21:00:00;0.279198;2.96643;10679.1;STOP
