tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
10;709;12;0.441;-33.057;2004-08-18 00:00:00;12.8937;0.936031;1572.53;STOP
10;710;12;0.465;-33.059;2004-08-18 00:28:00;19.6803;1.594;2677.93;STOP
10;711;12;0.487;-33.069;2004-08-18 01:00:00;91.2454;1.39955;2687.13;STOP
10;712;12;0.52;-32.992;2004-08-18 02:00:00;73.6624;2.58747;9314.88;STOP
10;713;12;0.457;-32.94;2004-08-18 03:00:00;43.1125;2.52311;9083.21;STOP
10;714;12;0.409;-32.943;2004-08-18 03:37:00;72.5388;2.40891;5347.77;STOP
10;715;12;0.404;-32.93;2004-08-18 04:00:00;21.0795;1.12227;1548.73;STOP
10;716;12;0.338;-32.857;2004-08-18 05:00:00;19.5822;3.03968;10942.8;STOP
10;717;12;0.325;-32.85;2004-08-18 05:15:00;10.6902;1.82419;1641.77;STOP
10;718;12;0.304;-32.833;2004-08-18 05:29:00;24.9548;3.57655;3004.3;STOP
10;719;12;0.272;-32.825;2004-08-18 06:00:00;28.7798;1.97191;3667.74;STOP
10;720;12;0.196;-32.845;2004-08-18 07:00:00;149.744;2.42737;8738.53;STOP
10;721;12;0.202;-32.839;2004-08-18 07:55:00;74.2192;0.285914;943.517;STOP
10;722;12;0.169;-32.78;2004-08-18 08:42:00;45.6088;2.66558;7516.94;STOP
10;723;12;0.174;-32.763;2004-08-18 09:00:00;77.5556;1.82442;1970.37;STOP
10;724;12;0.319;-32.773;2004-08-18 10:00:00;4.04414;4.48932;16161.6;STOP
10;725;12;0.376;-32.781;2004-08-18 10:26:00;0.437642;4.10271;6400.23;STOP
10;726;12;0.457;-32.793;2004-08-18 11:00:00;0.319193;4.46328;9105.09;STOP
10;727;12;0.496;-32.799;2004-08-18 11:17:00;0.43438;4.30159;4387.62;STOP
10;728;12;0.595;-32.815;2004-08-18 12:00:00;1.51374;4.32214;11151.1;STOP
10;729;12;0.699;-32.829;2004-08-18 12:56:00;5.66427;3.47279;11668.6;STOP
10;730;12;0.842;-32.834;2004-08-18 14:00:00;0.400272;4.14338;15910.6;STOP
10;731;12;0.985;-32.838;2004-08-18 15:00:00;9.33586;4.41864;15907.1;STOP
10;732;12;1.066;-32.827;2004-08-18 16:00:00;88.2713;2.52484;9089.44;STOP
10;733;12;1.067;-32.833;2004-08-18 16:32:00;28.4127;0.352218;676.258;STOP
10;734;12;1.074;-32.842;2004-08-18 17:00:00;0.41518;0.754571;1267.68;STOP
10;735;12;1.089;-32.861;2004-08-18 18:06:00;2.75249;0.679659;2691.45;STOP
10;736;12;1.099;-32.875;2004-08-18 19:00:00;18.4349;0.590382;1912.84;STOP
10;737;12;1.103;-32.888;2004-08-18 19:50:00;121.929;0.504053;1512.16;STOP
10;738;12;1.001;-32.861;2004-08-18 21:00:00;20.9967;2.79342;11732.4;STOP
10;739;12;0.964;-32.865;2004-08-18 21:24:00;8.29127;2.87373;4138.18;STOP
10;740;12;0.937;-32.864;2004-08-18 21:39:00;16.5914;3.33813;3004.32;STOP
10;741;12;0.906;-32.872;2004-08-18 22:00:00;24.0755;2.82535;3559.95;STOP
10;742;12;0.841;-32.861;2004-08-18 23:00:00;39.8616;2.03623;7330.41;STOP
10;743;12;0.817;-32.875;2004-08-18 23:18:00;15.5997;2.86061;3089.46;STOP
10;744;12;0.752;-32.892;2004-08-19 00:05:00;1.66213;2.6492;7470.73;STOP
10;745;12;0.7;-32.904;2004-08-19 01:00:00;9.02212;1.79821;5934.08;STOP
10;746;12;0.628;-32.909;2004-08-19 01:44:00;6.17509;3.03989;8025.31;STOP
10;747;12;0.602;-32.908;2004-08-19 02:00:00;0.0880119;3.01376;2893.21;STOP
10;748;12;0.502;-32.904;2004-08-19 03:00:00;24.2744;3.09122;11128.4;STOP
10;749;12;0.462;-32.884;2004-08-19 03:28:00;46.0051;2.95997;4972.75;STOP
10;750;12;0.428;-32.896;2004-08-19 04:00:00;19.44;2.08811;4009.18;STOP
10;751;12;0.343;-32.896;2004-08-19 05:00:00;6.5198;2.62544;9451.57;STOP
10;752;12;0.308;-32.9;2004-08-19 05:16:00;6.5198;4.08037;3917.16;STOP
10;753;12;0.276;-32.9;2004-08-19 05:45:00;120.069;2.04496;3558.24;STOP
10;754;12;0.287;-32.881;2004-08-19 06:00:00;10.1648;2.71245;2441.21;STOP
10;755;13;0.329;-32.765;2004-08-19 07:00:00;1.54399;3.81052;13717.9;MOVE
10;756;13;0.351;-32.709;2004-08-19 07:29:00;0.286477;3.84489;6690.1;MOVE
10;757;13;0.375;-32.647;2004-08-19 08:00:00;1.6246;3.97444;7392.45;MOVE
10;758;13;0.386;-32.616;2004-08-19 08:16:00;2.62969;3.80995;3657.55;MOVE
10;759;13;0.397;-32.589;2004-08-19 08:30:00;2.8763;3.85928;3241.8;MOVE
10;760;13;0.418;-32.529;2004-08-19 09:00:00;8.28009;3.92688;7068.38;MOVE
10;761;14;0.477;-32.416;2004-08-19 10:04:00;60.64;3.69122;14174.3;STOP
10;762;14;0.509;-32.415;2004-08-19 10:19:00;0.596033;3.95553;3559.97;STOP
10;763;14;0.605;-32.411;2004-08-19 11:00:00;0.476461;4.34308;10684;STOP
10;764;14;0.745;-32.404;2004-08-19 12:00:00;0.616663;4.32965;15586.7;STOP
10;765;14;0.847;-32.4;2004-08-19 12:45:00;0.934088;4.20393;11350.6;STOP
10;766;14;0.883;-32.398;2004-08-19 13:00:00;1.50744;4.45465;4009.19;STOP
10;767;14;1.02;-32.394;2004-08-19 14:00:00;0.82363;4.23339;15240.2;STOP
10;768;14;1.155;-32.392;2004-08-19 15:00:00;1.70386;4.17027;15013;STOP
10;769;14;1.289;-32.394;2004-08-19 16:00:00;0.855097;4.13938;14901.8;STOP
10;770;14;1.336;-32.394;2004-08-19 16:18:00;0.65106;4.83904;5226.16;STOP
10;771;14;1.424;-32.393;2004-08-19 17:00:00;168.039;3.88325;9785.79;STOP
10;772;14;1.414;-32.391;2004-08-19 17:50:00;125.272;0.377986;1133.96;STOP
10;773;14;1.418;-32.4;2004-08-19 18:23:00;7.26324;0.552961;1094.86;STOP
10;774;14;1.421;-32.41;2004-08-19 19:00:00;0.753848;0.522785;1160.58;STOP
10;775;14;1.423;-32.417;2004-08-19 19:25:00;3.41659;0.539521;809.281;STOP
10;776;14;1.425;-32.426;2004-08-19 20:00:00;102.529;0.488031;1024.86;STOP
10;777;14;1.359;-32.426;2004-08-19 21:00:00;4.66686;2.03857;7338.87;STOP
10;778;14;1.31;-32.43;2004-08-19 21:27:00;3.27661;3.37449;5466.67;STOP
10;779;14;1.267;-32.436;2004-08-19 22:00:00;3.65432;2.43822;4827.68;STOP
10;780;14;1.147;-32.445;2004-08-19 23:00:00;6.80603;3.7169;13380.9;STOP
10;781;14;1.056;-32.441;2004-08-19 23:44:00;4.60814;3.83656;10128.5;STOP
10;782;14;1.024;-32.437;2004-08-20 00:00:00;6.05419;3.73533;3585.92;STOP
10;783;14;0.917;-32.435;2004-08-20 01:00:00;27.0452;3.30554;11899.9;STOP
10;784;14;0.878;-32.454;2004-08-20 01:24:00;28.4639;3.34982;4823.75;STOP
10;785;14;0.832;-32.452;2004-08-20 02:00:00;15.9454;2.37028;5119.8;STOP
10;786;14;0.739;-32.421;2004-08-20 03:00:00;26.2001;3.02789;10900.4;STOP
10;787;14;0.717;-32.424;2004-08-20 03:12:00;23.0203;3.42906;2468.92;STOP
10;788;14;0.684;-32.415;2004-08-20 04:00:00;18.308;1.32064;3803.43;STOP
