tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
6;119;2;-4.107;-28.94;2004-08-02 01:00:00;6.68567;2.63139;10736.1;STOP
6;120;2;-4.15;-28.924;2004-08-02 01:31:00;4.49489;2.74196;5100.05;STOP
6;121;2;-4.178;-28.911;2004-08-02 02:00:00;0.939619;1.97187;3431.06;STOP
6;122;2;-4.242;-28.88;2004-08-02 03:00:00;29.5358;2.19536;7903.31;STOP
6;123;2;-4.273;-28.882;2004-08-02 03:19:00;32.746;3.02997;3454.17;STOP
6;124;2;-4.318;-28.857;2004-08-02 04:00:00;4.63546;2.32533;5720.32;STOP
6;125;2;-4.387;-28.811;2004-08-02 04:58:00;3.22452;2.6474;9212.96;STOP
6;126;2;-4.421;-28.791;2004-08-02 06:00:00;113.054;1.1782;4382.89;STOP
6;127;2;-4.437;-28.914;2004-08-02 07:00:00;2.27729;3.81992;13751.7;STOP
6;128;2;-4.458;-29.037;2004-08-02 08:00:00;1.35215;3.84286;13834.3;STOP
6;129;2;-4.466;-29.078;2004-08-02 08:20:00;34.9011;3.85951;4631.41;STOP
6;130;2;-4.443;-29.13;2004-08-02 08:49:00;28.4456;3.62443;6306.52;STOP
6;131;2;-4.421;-29.147;2004-08-02 09:00:00;2.27197;4.67892;3088.09;STOP
6;132;2;-4.316;-29.235;2004-08-02 10:00:00;2.57976;4.22652;15215.5;STOP
6;133;2;-4.243;-29.302;2004-08-02 10:42:00;1.23735;4.36659;11003.8;STOP
6;134;2;-4.21;-29.331;2004-08-02 11:00:00;1.37766;4.51778;4879.21;STOP
6;135;2;-4.107;-29.426;2004-08-02 12:00:00;2.31372;4.32276;15561.9;STOP
6;136;2;-4.073;-29.46;2004-08-02 12:21:00;2.15296;4.23795;5339.81;STOP
6;137;2;-4.004;-29.524;2004-08-02 13:00:00;1.63211;4.46698;10452.7;STOP
6;138;2;-3.893;-29.633;2004-08-02 14:05:00;0.520856;4.43037;17278.4;STOP
6;139;2;-3.795;-29.731;2004-08-02 15:00:00;2.55795e-12;4.6647;15393.5;STOP
6;140;2;-3.759;-29.767;2004-08-02 16:00:00;2.1211;1.57083;5654.98;STOP
6;141;2;-3.746;-29.781;2004-08-02 17:00:00;4.72168;0.589425;2121.93;STOP
6;142;2;-3.735;-29.795;2004-08-02 17:52:00;4.46716;0.633706;1977.16;STOP
6;143;2;-3.723;-29.813;2004-08-02 19:00:00;5.22959e-12;0.588723;2401.99;STOP
6;144;2;-3.719;-29.819;2004-08-02 19:26:00;169.52;0.513249;800.668;STOP
